Don_ID	Part_ID	Don_Amount	Don_Date	Don_Form
199	1	25.00	2016-01-30	check
200	1	25.00	2016-02-28	check
201	1	25.00	2016-03-30	check
202	1	25.00	2016-04-30	check
203	1	25.00	2016-05-30	check
204	1	25.00	2016-06-30	check
205	1	25.00	2016-07-30	check
206	1	25.00	2016-08-30	check
207	1	25.00	2016-09-30	check
208	1	25.00	2016-10-30	check
209	1	25.00	2016-11-30	check
210	1	25.00	2016-12-30	check
211	1	30.00	2017-01-15	check
212	1	30.00	2017-02-15	check
213	1	30.00	2017-03-15	check
214	1	30.00	2017-04-15	check
215	1	30.00	2017-05-15	check
216	1	30.00	2017-06-15	check
217	2	20.00	2016-01-30	check
218	2	20.00	2016-02-28	check
219	2	20.00	2016-03-30	check
220	2	20.00	2016-04-30	check
221	2	20.00	2016-05-30	check
222	2	20.00	2016-06-30	check
223	2	20.00	2016-07-30	check
224	2	20.00	2016-08-30	check
225	2	20.00	2016-09-30	check
226	2	20.00	2016-10-30	check
227	2	20.00	2016-11-30	check
228	2	20.00	2016-12-30	check
229	2	25.00	2017-01-15	check
230	2	25.00	2017-02-15	check
231	2	25.00	2017-03-15	check
232	2	25.00	2017-04-15	check
233	2	25.00	2017-05-15	check
234	2	25.00	2017-06-15	check
235	3	50.00	2016-03-10	check
236	3	50.00	2016-06-10	check
237	3	50.00	2016-09-10	check
238	3	50.00	2016-12-10	check
239	3	50.00	2017-03-10	check
240	3	50.00	2017-06-10	check
241	4	50.00	2016-03-10	check
242	4	50.00	2016-06-10	check
243	4	50.00	2016-09-10	check
244	4	50.00	2016-12-10	check
245	4	50.00	2017-03-10	check
246	4	50.00	2017-06-10	check
247	5	90.00	2016-02-13	cash
248	5	90.00	2016-08-13	check
249	5	90.00	2017-02-13	cash
250	5	90.00	2016-03-14	cash
251	5	90.00	2016-08-14	check
252	5	90.00	2017-03-14	cash
253	6	100.00	2016-01-01	check
254	6	100.00	2016-07-01	check
255	6	100.00	2017-01-01	check
256	7	110.00	2016-03-05	check
257	7	90.00	2016-10-05	check
258	7	95.00	2017-03-05	check
259	8	200.00	2016-05-25	check
260	8	200.00	2017-05-25	check
261	9	250.00	2016-12-30	check
262	9	300.00	2016-12-15	check
263	10	500.00	2016-12-15	check
264	11	450.00	2017-04-25	check
